Date,Circular_No,Category,Subject,Direction,Stock_Index,Event_Type,VIX_Level,VIX_5D_Change_Pct,Nifty_10D_HVol,Nifty_10D_Return,BankNifty_5D_HVol
2019-03-26,NCL/CMPT/40549,Initial Margin Change,Initial Margins for BANKNIFTY contracts,,BankNifty,,16.67,-1.36,10.31,1.67,15.97
2019-03-28,NCL/CMPT/40583,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,17.05,6.36,10.41,0.91,15.79
2019-04-16,NCL/CMPT/40776,Additional Margin Measure,Additional Risk Management measures for long dated option contracts,,See PDF,,21.39,5.47,8.62,-0.2,11.9
2019-04-26,NCL/CMPT/40862,Exposure Margin Update,Sub: Applicable Exposure Margin,,See PDF,,23.23,2.15,12.7,0.5,17.61
2019-06-27,NCL/CMPT/41434,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,14.75,5.36,13.04,-0.56,14.28
2019-07-31,NCL/CMPT/41751,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,13.61,6.66,8.43,-5.15,16.24
2019-08-29,NCL/CMPT/42006,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,16.84,-5.66,16.99,0.15,27.1
2019-09-16,NCL/CMPT/42144,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,14.12,-13.21,14.64,1.17,18.01
2019-09-26,NCL/CMPT/42241,Delivery Margin,Delivery margins for Delivery Settlement in Equity Derivatives,,See PDF,,16.17,3.99,36.31,4.16,58.95
2019-09-27,NCL/CMPT/42248,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,16.34,6.1,36.44,4.47,59.04
2019-10-16,NCL/CMPT/42416,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,16.85,-1.81,15.1,-0.4,31.23
2019-10-30,NCL/CMPT/42540,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,16.42,-2.32,11.36,3.93,14.5
2019-11-08,NCL/CMPT/42629,Other Margin Circular,Introduction of Cross-Margining facility in respect of offsetting positions in co-related equity Indices,,See PDF,,15.21,-3.31,8.78,3.71,10.46
2019-11-18,NCL/CMPT/42673,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,15.03,-5.23,7.47,0.04,15.25
2019-11-28,NCL/CMPT/42781,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,14.62,-2.4,8.91,1.93,9.95
2019-12-16,NCL/CMPT/42912,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,13.3,-8.9,9.58,0.32,15.17
2019-12-26,NCL/CMPT/43024,Other Margin Circular,Introduction of Cross-Margining facility in respect of offsetting positions in co-related equity Indices,,Nifty50,,11.63,-5.75,7.69,2.56,8.69
2019-12-30,NCL/CMPT/43056,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,10.53,-14.6,9.22,1.32,9.58
2020-01-08,NCL/CMPT/43153,Other Margin Circular,Introduction of Cross-Margining facility in respect of offsetting positions in co-related equity Indices,,See PDF,,14.61,25.19,14.42,-1.32,19.05
2020-01-16,NCL/CMPT/43238,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,14.12,0.86,15.05,0.5,20.98
2020-01-17,NCL/CMPT/43262,Delivery Margin,Delivery margins for Delivery Settlement in Equity Derivatives,,See PDF,,14.18,0.71,14.74,1.05,20.23
2020-01-30,NCL/CMPT/43379,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,16.5,4.04,10.66,-1.83,14.3
2020-02-17,NCL/CMPT/43566,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,13.62,-4.15,14.61,3.46,17.45
2020-02-24,NCL/CMPT/43634,Framework Revision,Review of Margin Framework for Cash and Derivatives segments (except for Commodity Derivatives segment),,See PDF,,13.7,0.59,10.48,-0.14,12.24
2020-02-25,NCL/CMPT/43656,Client Margin Compliance,Margin obligations to be given by way of Pledge/ Re-pledge in the Depository System,,See PDF,,17.0,17.89,15.07,-1.68,14.51
2020-02-27,NCL/CMPT/43699,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,18.26,30.24,13.18,-4.28,12.14
2020-03-16,NCL/CMPT/43869,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,51.47,100.74,56.85,-11.13,65.2
2020-03-30,NCL/CMPT/44027,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,70.39,-2.22,98.62,-5.84,118.38
2020-04-16,NCL/CMPT/44138,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,49.74,-3.98,68.51,3.06,86.16
2020-04-27,NCL/CMPT/44243,Framework Revision,Extension of implementation date of Circular on ???Review of Margin Framework for Cash and Derivatives segments (except for Commodity Derivatives Segment),,See PDF,,39.12,-9.99,31.41,0.47,58.34
2020-04-29,NCL/CMPT/44271,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,35.35,-17.45,30.35,5.1,57.6
2020-05-15,NCL/CMPT/44391,Framework Revision,Review of Margin framework for Futures & Options Segment,,See PDF,,38.18,-0.6,35.64,-7.27,54.97
2020-05-15,NCL/CMPT/44384,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,38.18,-0.6,35.64,-7.27,54.97
2020-05-26,NCL/CMPT/44465,Client Margin Compliance,Implementation of Circular on ???Margin obligations to be given by way of Pledge / Re-pledge in the Depository System?????? Extension,,See PDF,,32.38,-20.87,29.62,-2.16,48.38
2020-06-16,NCL/CMPT/44656,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,32.58,7.85,18.84,-1.66,39.4
2020-07-03,NCL/CMPT/44900,Client Margin Compliance,Margin Obligations to be given by way of Pledge/ Re-pledge,,See PDF,,26.51,-7.76,16.43,3.0,31.9
2020-07-16,NCL/CMPT/45027,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,26.29,5.54,15.72,0.63,27.83
2020-07-21,NCL/CMPT/45088,Client Margin Compliance,Client Margin Reporting,,See PDF,,24.71,-7.24,17.43,2.06,28.48
2020-07-22,NCL/CMPT/45102,Client Margin Compliance,Margin Obligations to be given by way of Pledge/ Re-pledge,,See PDF,,24.43,-7.07,16.84,4.26,30.75
2020-08-14,NCL/CMPT/45343,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,20.57,-8.9,14.86,2.05,20.64
2020-09-08,NCL/CMPT/45630,Client Margin Compliance,Client Margin Reporting,,See PDF,,22.01,0.96,17.42,-1.02,33.14
2020-09-16,NCL/CMPT/45721,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,20.6,-7.33,13.71,-0.11,21.43
2020-09-24,NCL/CMPT/45806,Other Margin Circular,Margin and Collateral Reports,,See PDF,,20.99,4.43,14.3,-2.77,21.91
2020-10-06,NCL/CMPT/45956,Other Margin Circular,"Clearing, Settlement & Risk Management - Quarterly Option contracts on Nifty Bank Index",,Nifty,,19.7,0.66,24.7,2.25,36.73
2020-10-16,NCL/CMPT/46052,Additional Exposure/Surveillance Margin,Additional Exposure margin on Securities under MWPL,,Multiple Stocks - MWPL,,22.06,8.24,17.24,2.31,29.54
2020-11-17,NCL/CMPT/46358,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,19.7,-2.04,11.16,9.0,28.08
2020-12-16,NCL/CMPT/46665,Additional Exposure/Surveillance Margin,Additional Exposure Margin on securities under MWPL,,Multiple Stocks - MWPL,,19.35,2.27,7.09,3.46,13.25
2021-01-18,NCL/CMPT/47039,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,24.01,7.28,11.98,2.13,11.77
2021-02-16,NCL/CMPT/47356,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,22.04,-8.01,8.16,4.55,18.56
2021-03-09,NCL/CMPT/47585,Other Margin Circular,Computation of Margin Utilisation,,See PDF,,24.68,4.53,29.93,1.69,40.31
2021-03-16,NCL/CMPT/47639,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,21.23,-13.98,18.07,1.14,23.43
2021-04-16,NCL/CMPT/48000,Additional Exposure/Surveillance Margin,Additional Exposure Margins on Securities under MWPL,,Multiple Stocks - MWPL,,20.89,2.86,24.81,-0.74,41.61
2021-04-16,NCL/CMPT/48009,Other Margin Circular,Computation of Margin Utilisation,,See PDF,,20.89,2.86,24.81,-0.74,41.61
2021-05-17,NCL/CMPT/48279,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,20.27,-8.03,12.13,0.32,14.95
2021-06-16,NCL/CMPT/48616,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,14.61,-0.95,7.1,1.88,12.83
2021-07-16,NCL/CMPT/48958,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,12.27,-5.18,8.52,1.28,14.06
2021-08-16,NCL/CMPT/49306,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,12.99,3.01,9.25,4.05,15.04
2021-09-16,NCL/CMPT/49615,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,13.73,-4.72,6.09,2.6,8.74
2021-10-18,NCL/CMPT/49977,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,15.77,0.77,9.85,4.6,11.26
